driverId,week,hours-logged,miles-logged
71,43,78,3800
86,52,52,1200
73,49,54,1000
101,47,58,1400
95,47,77,2100
63,26,62,1600
14,43,63,1200
64,52,73,3200
14,36,79,800
60,33,63,3800
37,9,56,1200
67,25,57,3700
51,10,63,1800
50,18,51,2400
76,47,60,100
15,20,72,2800
21,46,66,2900
21,25,79,300
34,46,56,3100
104,51,70,700
91,29,61,1000
95,15,59,600
58,27,69,1400
40,14,60,2100
99,40,64,100
81,34,76,1300
61,29,50,3200
40,10,70,3300
103,30,77,200
39,42,66,200
46,24,66,1400
76,36,65,0
33,40,60,1800
94,32,74,3800
92,26,66,1300
101,9,58,3500
27,20,79,2600
86,1,51,2300
68,28,64,3500
38,31,60,2900
11,14,68,3500
106,28,54,1100
52,15,52,100
23,49,61,3000
75,16,68,2300
66,23,58,3000
27,50,66,2300
100,42,80,3600
24,26,76,1200
83,17,68,800
28,42,66,3100
42,18,50,3600
104,29,66,1400
22,27,66,2100
41,10,71,3100
78,36,72,3600
95,4,74,4000
64,44,50,3300
35,11,64,1800
92,13,80,3000
44,22,67,3300
25,9,56,3900
86,44,77,1300
98,19,51,3200
98,47,65,1500
12,22,52,1300
75,18,51,3100
78,15,80,500
95,21,72,3700
93,29,63,300
40,34,52,2900
21,11,68,3000
48,21,57,2600
63,1,58,2900
34,1,61,2200
90,8,66,0
25,17,61,3800
107,23,69,700
27,51,68,2800
50,35,64,2400
93,33,52,2600
43,34,76,1600
63,16,60,2200
29,22,62,2400
104,52,80,2800
84,25,73,1100
33,50,60,3300
42,28,69,2000
63,10,77,3100
102,43,54,900
86,21,63,1300
65,45,59,4000
38,50,53,2200
30,8,59,1100
56,26,60,700
65,45,54,1200
74,23,72,1200
55,5,74,3200
76,5,62,2000
87,34,63,900
75,38,72,1800
88,2,76,3900
25,2,50,3700
32,21,50,600
66,14,63,2300
45,17,60,3900
62,30,61,0
103,44,78,200
59,49,50,3100
69,43,57,3800
45,2,51,3500
88,50,77,700
22,15,58,3300
45,13,53,3800
36,7,61,700
36,38,52,1300
21,52,65,4000
86,33,80,3900
73,49,55,2900
62,42,61,3300
52,22,51,1700
37,15,64,400
64,39,76,2200
61,9,60,4000
45,35,77,3200
40,14,73,1200
107,45,63,2600
61,45,60,3600
74,4,53,2900
100,2,79,2900
79,25,73,2400
30,31,58,2000
11,7,56,1700
67,12,75,3800
69,50,55,700
50,49,77,2000
45,5,55,2900
34,30,58,3700
54,34,73,1500
64,23,68,200
70,3,55,1200
18,42,66,200
103,20,75,1700
28,26,73,3900
46,35,58,1000
41,14,68,1800
56,29,53,2300
62,25,60,3600
91,10,56,2800
15,1,62,400
63,19,65,2500
95,4,75,2100
54,20,75,1800
63,45,78,2300
89,47,77,2100
67,34,59,2700
90,20,76,400
95,29,61,700
17,49,74,3600
88,33,66,3600
52,24,76,3000
49,34,50,2200
65,28,77,3700
102,40,51,1000
97,36,77,1600
64,11,54,900
56,9,76,3400
90,45,70,2900
79,18,58,900
83,40,71,2800
48,5,65,100
45,9,50,700
10,31,78,3000
45,46,63,1900
20,47,79,600
43,41,61,3900
82,22,70,1300
60,12,76,2700
28,48,67,4000
67,20,59,2200
34,19,76,200
102,51,67,2600
